 TIME                    	Q                        	
  +7.9820000000000000E+03	  +3.6756469156460657E+03	
  +7.9830000000000000E+03	  +3.6756118854863657E+03	
  +7.9840000000000000E+03	  +3.6755768605934963E+03	
  +7.9850000000000000E+03	  +3.6755418409736167E+03	
  +7.9860000000000000E+03	  +3.6755068266049434E+03	
  +7.9870000000000000E+03	  +3.6754718175071589E+03	
  +7.9880000000000000E+03	  +3.6754368136683051E+03	
  +7.9890000000000000E+03	  +3.6754018150925694E+03	
  +7.9900000000000000E+03	  +3.6753668217712793E+03	
  +7.9910000000000000E+03	  +3.6753318337083747E+03	
  +7.9920000000000000E+03	  +3.6752968509076704E+03	
  +7.9930000000000000E+03	  +3.6752618733492077E+03	
  +7.9940000000000000E+03	  +3.6752269010551290E+03	
  +7.9950000000000000E+03	  +3.6751919340052764E+03	
  +7.9960000000000000E+03	  +3.6751569722118070E+03	
  +7.9970000000000000E+03	  +3.6751220156617442E+03	
  +7.9980000000000000E+03	  +3.6750870643647359E+03	
  +7.9990000000000000E+03	  +3.6750521183111491E+03	
  +8.0000000000000000E+03	  +3.6750171775014105E+03	
  +8.0010000000000000E+03	  +3.6749822419392463E+03	
  +8.0020000000000000E+03	  +3.6749473116109853E+03	
  +8.0030000000000000E+03	  +3.6749123865339479E+03	
  +8.0040000000000000E+03	  +3.6748774666929985E+03	
  +8.0050000000000000E+03	  +3.6748425520915880E+03	
  +8.0060000000000000E+03	  +3.6748076427243536E+03	
  +8.0070000000000000E+03	  +3.6747727385905509E+03	
  +8.0080000000000000E+03	  +3.6747378396933314E+03	
  +8.0090000000000000E+03	  +3.6747029460349695E+03	
  +8.0100000000000000E+03	  +3.6746680575974015E+03	
  +8.0110000000000000E+03	  +3.6746331743983787E+03	
  +8.0120000000000000E+03	  +3.6745982964288596E+03	
  +8.0130000000000000E+03	  +3.6745634236827100E+03	
  +8.0140000000000000E+03	  +3.6745285561637702E+03	
  +8.0150000000000000E+03	  +3.6744936938701321E+03	
  +8.0160000000000000E+03	  +3.6744588368012555E+03	
  +8.0170000000000000E+03	  +3.6744239849505343E+03	
  +8.0180000000000000E+03	  +3.6743891383255377E+03	
